Restaurant_Name,City,Restaurant_Type,Cuisines,Cost_for_two,Rating_out_of_5,Customer_rated,Service_Category,Online_Order,Book_Table
Pallavi Restaurant,Electronic City,Casual Dining,"Biryani, Chinese, Andhra",500.0,3.8,490,Dine-out,Yes,Yes
Krutunga Restaurant,Electronic City,Casual Dining,"Chinese, North Indian, South Indian",700.0,3.4,20,Dine-out,No,No
Shoiab Family Restaurant,Electronic City,Casual Dining,"North Indian, South Indian, Chinese",600.0,3.6,14,Dine-out,Yes,No
Hotel Jade Empire,Electronic City,Casual Dining,"Andhra, North Indian, Chinese",700.0,3.1,10,Dine-out,No,No
Bengaluru Restaurant,Electronic City,Casual Dining,"North Indian, South Indian",1500.0,3.1,22,Dine-out,No,No
Joshitha Andra Mess,Electronic City,Mess,"Andhra, Biryani",250.0,3.2,9,Dine-out,No,No
S R Andhra Mess,Electronic City,Mess,Andhra,200.0,3.3,16,Dine-out,No,No
Hotel Amulya,Electronic City,Casual Dining,"North Indian, Chettinad, Chinese",500.0,3.5,0,Dine-out,No,No
Gourmet,Electronic City,Casual Dining,"North Indian, Chinese, Continental, South Indian",800.0,3.5,12,Dine-out,No,No
90's Beer Cafe - Hotel Millennium Plaza,Electronic City,Bar,Finger Food,1000.0,3.0,7,Dine-out,No,No
New Hyderabadi Biryani House,Electronic City,Casual Dining,"Biryani, Hyderabadi",600.0,3.5,0,Dine-out,No,No
Just Shawarma,Electronic City,Kiosk,Arabian,300.0,3.9,176,Dine-out,Yes,No
Hotel The Nalanda,Electronic City,Casual Dining,"North Indian, South Indian",700.0,3.2,4,Dine-out,No,No
Pepper Pillar,Electronic City,Casual Dining,South Indian,700.0,3.4,11,Dine-out,No,No
Nirvana Bar - Manipal County,Electronic City,Bar,Finger Food,1000.0,3.3,6,Dine-out,No,No
Narayana Veg Treat,Electronic City,Quick Bites,"North Indian, South Indian, Chinese",350.0,3.1,8,Dine-out,No,No
Andhra Mess,Electronic City,Mess,South Indian,200.0,3.4,8,Dine-out,No,No
Vasu Biriyani Paradise,Electronic City,Quick Bites,"North Indian, Biryani, Chinese",350.0,3.1,6,Dine-out,No,No
Dilli 6,Electronic City,Casual Dining,"North Indian, Chinese",450.0,3.2,26,Dine-out,No,No
3rd Innings,Electronic City,"Casual Dining, Bar","Burger, Italian, North Indian, Chinese",1000.0,3.0,17,Dine-out,No,No
Satkar,Electronic City,Quick Bites,"Chinese, North Indian",350.0,3.6,22,Dine-out,No,No
NH7 Resto Pub,Electronic City,"Casual Dining, Pub","Andhra, Chinese, Continental",1400.0,3.3,6,Dine-out,No,No
Sahaja Foods,Electronic City,Quick Bites,South Indian,150.0,3.5,0,Dine-out,No,No
BJM Restaurant and Cafe,Electronic City,Casual Dining,"North Indian, Chinese, Continental",700.0,2.65,0,Dine-out,No,No
New Green Leaf Restaurant,Electronic City,Casual Dining,"Kerala, North Indian, Chinese, South Indian",600.0,3.6,42,Dine-out,No,No
Shree Ranga Vilas,Electronic City,Casual Dining,"North Indian, South Indian, Chinese, Juices",500.0,3.2,7,Dine-out,No,No
Hotel Ivy Dew Drops,Electronic City,Casual Dining,"South Indian, North Indian, Chinese",900.0,3.2,4,Dine-out,No,No
Momm's The Kitchen,Electronic City,Casual Dining,"Andhra, South Indian, North Indian, Chinese",500.0,3.4,7,Dine-out,No,No
Pizza Republic,Electronic City,Casual Dining,"Pizza, Fast Food",500.0,2.7,31,Dine-out,No,No
The Elachi,Electronic City,Quick Bites,North Indian,500.0,3.1,18,Dine-out,No,No
Zaffron Express,Electronic City,Casual Dining,"North Indian, Chinese, Biryani",550.0,3.5,8,Dine-out,No,No
Hungry Kya?,Electronic City,Quick Bites,"North Indian, Chinese",400.0,3.3,8,Dine-out,No,No
Hunter's Lounge,Electronic City,Casual Dining,"South Indian, North Indian, Chinese",500.0,3.1,9,Dine-out,No,No
Green Tree Garden Restaurant,Electronic City,Casual Dining,"Chinese, Hyderabadi, Mughlai, South Indian",500.0,3.4,6,Dine-out,No,No
Sattvic,Electronic City,Casual Dining,"South Indian, North Indian",450.0,3.5,11,Dine-out,No,No
Mast Kalandar,Electronic City,Casual Dining,North Indian,450.0,2.4,142,Dine-out,No,No
Ruchir,Electronic City,Casual Dining,"North Indian, South Indian, Biryani",600.0,3.3,7,Dine-out,No,No
Bollywood Grill,Electronic City,Casual Dining,North Indian,1500.0,3.4,5,Dine-out,No,No
Envy,Electronic City,Lounge,Finger Food,1000.0,3.4,9,Dine-out,No,No
Biriyani Paradise,Electronic City,Casual Dining,"North Indian, Kerala, Biryani, South Indian",550.0,3.5,18,Dine-out,No,No
Hotel Sri Chiraag Sagar,Electronic City,Quick Bites,"North Indian, South Indian, Chinese",400.0,3.4,0,Dine-out,No,No
S.K Green Gardens,Electronic City,Casual Dining,"North Indian, Chinese, Seafood, South Indian",550.0,3.2,4,Dine-out,No,No
Pugals Biriyani,Electronic City,Quick Bites,"Kerala, Biryani, Chinese, North Indian",400.0,3.6,25,Dine-out,No,No
24 Hours Coffee Drop - La Classic,Electronic City,Cafe,Cafe,800.0,3.4,9,Dine-out,No,No
Pink Pepper,Electronic City,Casual Dining,"North Indian, Chinese, South Indian",700.0,3.3,5,Dine-out,No,No
Kotae Garden,Electronic City,Casual Dining,"North Indian, Chinese, Andhra",450.0,3.1,9,Dine-out,No,No
Anmol Sweets And Snacks,Electronic City,Sweet Shop,"Mithai, Street Food, Fast Food",200.0,3.5,0,Dine-out,No,No
BJM Restaurant & Cafe,Electronic City,Casual Dining,"North Indian, Chinese, South Indian",600.0,3.3,0,Dine-out,No,No
Nellore Ruchulu,Electronic City,Casual Dining,Andhra,500.0,3.5,0,Dine-out,No,No
La Liz Restaurant,Electronic City,Quick Bites,"South Indian, North Indian, Chinese",400.0,3.6,0,Dine-out,No,No
Spice,Electronic City,"Casual Dining, Bar","Andhra, Chinese, North Indian",1500.0,3.3,4,Dine-out,No,No
Flavors,Electronic City,Casual Dining,"North Indian, South Indian, Chinese, Continental",1200.0,3.4,5,Dine-out,No,No
Hotel Vinn,Electronic City,Casual Dining,"North Indian, South Indian, Chinese",600.0,3.6,0,Dine-out,No,No
Kulhad Junction,Electronic City,Cafe,Cafe,100.0,3.1,0,Dine-out,No,No
Bawarchi Restaurant,Electronic City,Casual Dining,"North Indian, Biryani",700.0,3.1,4,Dine-out,No,No
Mahadwani Restaurant,Electronic City,Quick Bites,"South Indian, North Indian",300.0,3.3,4,Dine-out,No,No
Enroute,Electronic City,Casual Dining,"Continental, Fast Food",300.0,3.4,7,Dine-out,No,No
Chung Wah,Electronic City,Casual Dining,Chinese,500.0,2.9,95,Dine-out,No,No
Madiha Biryani House,Electronic City,Casual Dining,"Biryani, North Indian, Beverages",450.0,3.4,13,Dine-out,No,No
Lakshmi Rayalaseema Ruchilu,Electronic City,Casual Dining,"Biryani, South Indian, Chinese",600.0,2.9,83,Dine-out,Yes,No
Salted Chilli,Electronic City,Casual Dining,"Biryani, North Indian, Chinese",600.0,3.7,50,Dine-out,Yes,Yes
Biryani Darbar,Electronic City,Casual Dining,"Biryani, Chinese",600.0,3.3,12,Dine-out,Yes,No
Vijayawada Heights,Electronic City,Casual Dining,North Indian,600.0,2.9,24,Dine-out,Yes,No
Oriental Fusion,Electronic City,Casual Dining,"American, Continental",700.0,3.5,0,Dine-out,No,No
Sitaar,Electronic City,Casual Dining,"North Indian, Chinese",800.0,3.8,88,Dine-out,Yes,Yes
Brunch & Munch - Hotel Millennium Plaza,Electronic City,Casual Dining,"North Indian, Chinese, Mangalorean, Andhra",1200.0,3.5,23,Dine-out,No,No
India Garden,Electronic City,Casual Dining,"North Indian, Chinese, Fast Food, Beverages",550.0,3.3,211,Dine-out,Yes,No
Bhukkads,Electronic City,Casual Dining,"Chinese, North Eastern",400.0,3.2,63,Dine-out,Yes,No
Swathi Restaurant - The Vintage Inn,Electronic City,Casual Dining,"Andhra, North Indian",900.0,3.8,36,Dine-out,Yes,No
Thanima Garden Restaurant,Electronic City,Casual Dining,"North Indian, Chinese, Kerala",500.0,3.6,163,Dine-out,Yes,No
Nainital North Indian Restaurant,Electronic City,Quick Bites,North Indian,400.0,3.5,73,Dine-out,Yes,No
Cafe Palnad,Electronic City,Quick Bites,"South Indian, Fast Food",400.0,4.0,92,Dine-out,Yes,No
Rajasthani Charbhuja Restaurant,Electronic City,Quick Bites,"North Indian, Chinese, Rajasthani",350.0,4.0,170,Dine-out,No,No
Petoo,Electronic City,Food Court,"North Indian, Fast Food, Street Food",400.0,3.6,55,Dine-out,Yes,No
Biggies Burger 'n' More,Electronic City,Quick Bites,"Cafe, Burger, Beverages",650.0,3.9,177,Dine-out,Yes,No
Pattikattan Biriyani,Electronic City,Quick Bites,"Biryani, North Indian",300.0,3.5,0,Dine-out,Yes,No
Hyderabad Magic,Electronic City,Quick Bites,"Hyderabadi, Chinese, Biryani, Arabian",400.0,3.8,237,Dine-out,Yes,No
Ruchi Sagar,Electronic City,Quick Bites,"South Indian, North Indian, Chinese, Juices",250.0,4.0,262,Dine-out,Yes,No
Notebook Food Court,Electronic City,Quick Bites,"Chinese, North Indian, Rolls",300.0,4.0,220,Dine-out,Yes,No
Sri Pillaiyar Bhavan,Electronic City,Quick Bites,Chettinad,300.0,4.0,117,Dine-out,Yes,No
New Udupi Palace,Electronic City,Quick Bites,"South Indian, North Indian, Chinese, Street Food",350.0,3.8,70,Dine-out,Yes,No
The Daily,Electronic City,Quick Bites,"Rajasthani, North Indian",400.0,4.0,130,Dine-out,Yes,No
Delhi Base Sri Food Court,Electronic City,Quick Bites,"North Indian, South Indian, Chinese, Street Food",250.0,3.9,505,Dine-out,Yes,No
Dine Garden Family Restaurant,Electronic City,Quick Bites,"Biryani, South Indian, North Indian, Chinese",400.0,3.5,61,Dine-out,Yes,Yes
Kabab Souq,Electronic City,Quick Bites,"North Indian, Chinese",400.0,3.4,7,Dine-out,No,No
Polar Bear,Electronic City,Dessert Parlor,"Ice Cream, Desserts, Beverages, Sandwich",400.0,4.0,145,Dine-out,Yes,No
Hotel Shruthi,Electronic City,Quick Bites,"North Indian, Biryani",200.0,3.5,13,Dine-out,Yes,No
Khana Khazana,Electronic City,Quick Bites,North Indian,300.0,3.6,15,Dine-out,Yes,No
Hotel Sakti Saravana,Electronic City,Quick Bites,"Tamil, South Indian",350.0,3.8,67,Dine-out,Yes,No
Laddoos,Electronic City,"Quick Bites, Dessert Parlor","North Indian, Street Food, Mithai",250.0,2.8,124,Dine-out,No,No
NY Pizza & Waffles,Electronic City,Quick Bites,"Pizza, Desserts",400.0,3.1,273,Dine-out,Yes,No
Faasos,Electronic City,Quick Bites,"North Indian, Biryani, Fast Food",500.0,4.0,506,Dine-out,Yes,No
Kababish Restaurant,Electronic City,Quick Bites,"North Indian, Chinese, Arabian, Biryani, Rolls",500.0,3.5,0,Dine-out,Yes,No
KFC,Electronic City,Quick Bites,"Burger, Fast Food",450.0,3.5,154,Dine-out,Yes,No
Punjab Calling,Electronic City,Quick Bites,North Indian,400.0,3.7,10,Dine-out,Yes,No
Kettle On,Electronic City,Quick Bites,"Fast Food, Sandwich, Beverages",400.0,3.7,110,Dine-out,Yes,No
McDonald's Play Place,Electronic City,Quick Bites,"Burger, Fast Food",500.0,3.7,123,Dine-out,Yes,No
Just Fresh Point,Electronic City,Quick Bites,"Street Food, American, Sandwich, Fast Food, Beverages, Burger, Desserts, Pizza",300.0,4.0,162,Dine-out,Yes,No
Prem's Biriyani,Electronic City,Quick Bites,"Biryani, Fast Food",300.0,3.3,7,Dine-out,Yes,No
Recipe Box,Electronic City,Quick Bites,"Chinese, Beverages",400.0,3.5,0,Dine-out,Yes,No
Chill Out Cafe,Electronic City,Quick Bites,"North Indian, Chinese",350.0,3.5,11,Dine-out,No,No
Domino's Pizza,Electronic City,Quick Bites,"Pizza, Fast Food",400.0,3.2,284,Dine-out,Yes,No
Peril Enthirikkunnu,Electronic City,Quick Bites,"Kerala, South Indian",250.0,3.4,0,Dine-out,Yes,No
Sanjeevini Veg,Electronic City,Quick Bites,South Indian,200.0,3.9,57,Dine-out,No,No
Nandanam Family Restaurant,Electronic City,Quick Bites,"Kerala, Chinese",400.0,3.3,4,Dine-out,No,No
Parampara - The Veg Kitchen,Electronic City,Quick Bites,"North Indian, Chinese, Street Food",350.0,3.7,257,Dine-out,Yes,No
Udupi Food Junction,Electronic City,Quick Bites,"South Indian, North Indian",250.0,3.5,9,Dine-out,Yes,No
Foodies Express,Electronic City,Quick Bites,"Chinese, North Indian, Arabian, Biryani",400.0,3.7,131,Dine-out,Yes,No
Five Star Chicken,Electronic City,Quick Bites,"Fast Food, Burger",200.0,3.2,66,Dine-out,Yes,No
Ruposhi Bangla,Electronic City,Quick Bites,"Bengali, Chinese, North Indian, Seafood",400.0,4.0,159,Dine-out,Yes,No
Tikka Kebab,Electronic City,Quick Bites,"Kebab, North Indian, Chinese",250.0,3.7,69,Dine-out,Yes,No
Chilli Park,Electronic City,Quick Bites,"North Indian, Chinese, Fast Food",300.0,3.8,0,Dine-out,Yes,No
Marmaris,Electronic City,Quick Bites,"North Indian, Momos",300.0,3.8,76,Dine-out,No,No
The Hungry,Electronic City,Quick Bites,"Fast Food, Chinese",400.0,3.6,20,Dine-out,Yes,No
Paratha House,Electronic City,Quick Bites,"North Indian, Chinese",350.0,3.6,33,Dine-out,Yes,No
Uma Ki Rasoi,Electronic City,Quick Bites,North Indian,250.0,3.9,40,Dine-out,Yes,No
China Garden,Electronic City,Quick Bites,"Chinese, North Indian",300.0,3.6,25,Dine-out,Yes,No
Kababish Sizzler,Electronic City,Quick Bites,"Biryani, North Indian, South Indian, Fast Food",250.0,3.5,0,Dine-out,No,No
Pure Punjabi,Electronic City,Quick Bites,"Chinese, North Indian, Fast Food",450.0,3.4,275,Dine-out,Yes,No
Samosa Singh,Electronic City,Quick Bites,"Street Food, Beverages",150.0,4.0,427,Dine-out,Yes,No
Jigani Dum Biryani Centre,Electronic City,Quick Bites,Biryani,150.0,3.3,7,Dine-out,No,No
Chef Baker's,Electronic City,"Bakery, Quick Bites","Bakery, Fast Food, Pizza, Burger, Cafe",600.0,3.8,101,Dine-out,Yes,No
Kolkata Kitchen,Electronic City,Quick Bites,"North Indian, Fast Food, Biryani",400.0,3.2,231,Dine-out,Yes,No
Tuba Rolls & Snacks,Electronic City,Quick Bites,"Chinese, Fast Food, North Indian, Rolls",200.0,3.0,58,Dine-out,Yes,No
Messy's,Electronic City,Quick Bites,Fast Food,400.0,3.8,108,Dine-out,Yes,No
Andhra Biryani & Curries,Electronic City,Quick Bites,"North Indian, South Indian, Chinese, Andhra, Biryani",400.0,3.1,4,Dine-out,Yes,No
Wakhra Swaad,Electronic City,Quick Bites,"North Indian, Biryani, Rolls, Beverages",300.0,3.4,83,Dine-out,Yes,No
Nandini Dosa Camp,Electronic City,Quick Bites,South Indian,100.0,3.5,0,Dine-out,No,No
Hanchina Mane Restaurant,Electronic City,Quick Bites,North Indian,400.0,3.6,0,Dine-out,No,No
Crumbz Crunches,Electronic City,Quick Bites,"North Indian, Chinese",450.0,3.1,44,Dine-out,Yes,No
Indian Food Court,Electronic City,Quick Bites,"North Indian, Chinese, Fast Food",400.0,3.8,234,Dine-out,Yes,No
7 Shanghai,Electronic City,Quick Bites,Chinese,250.0,3.5,19,Dine-out,Yes,No
Sankalp Reddy Restaurant,Electronic City,Quick Bites,"South Indian, Andhra, Biryani",300.0,3.9,33,Dine-out,Yes,No
Ragi Nadu,Electronic City,Quick Bites,"South Indian, Biryani, Chinese",450.0,3.5,13,Dine-out,No,No
Rolls On Wheels,Electronic City,Quick Bites,"Fast Food, Rolls, Momos",300.0,2.7,23,Dine-out,No,No
Basaveshwara Khanavali,Electronic City,Quick Bites,South Indian,100.0,3.5,0,Dine-out,No,No
Meat And Eat,Electronic City,Quick Bites,"Fast Food, Burger",500.0,3.3,6,Dine-out,Yes,No
Karaikudi Restaurant,Electronic City,Quick Bites,South Indian,300.0,3.7,214,Dine-out,Yes,No
Maa Tara Hotel,Electronic City,Quick Bites,"Chinese, North Indian",400.0,3.8,50,Dine-out,Yes,No
MBR Dum Biryani County,Electronic City,Quick Bites,"Biryani, North Indian",150.0,3.5,24,Dine-out,No,No
Naadan Bhakshanasaala,Electronic City,Quick Bites,"Kerala, South Indian",250.0,3.3,8,Dine-out,No,No
Half Girlfriend,Electronic City,Quick Bites,"Biryani, North Indian, Chinese, Fast Food",600.0,3.5,0,Dine-out,Yes,No
BMG Hotel,Electronic City,Quick Bites,"South Indian, North Indian",200.0,3.5,0,Dine-out,No,No
Kairali Restaurant,Electronic City,Quick Bites,"Kerala, South Indian",400.0,3.4,19,Dine-out,Yes,No
Juicy,Electronic City,"Beverage Shop, Quick Bites","Beverages, Juices, Fast Food",200.0,3.9,37,Dine-out,Yes,No
New Aastha,Electronic City,Quick Bites,"North Indian, Chinese",250.0,3.6,34,Dine-out,Yes,No
Desi Breakk,Electronic City,Quick Bites,North Indian,150.0,3.6,29,Dine-out,No,No
RKA Brahmins Coffee Bar,Electronic City,Quick Bites,South Indian,150.0,3.5,0,Dine-out,No,No
Chivi's Meilleurs Boulangers,Electronic City,Quick Bites,"South Indian, Bakery, Fast Food",300.0,3.4,12,Dine-out,Yes,No
SFC Kabab Corner,Electronic City,Quick Bites,"Chinese, Andhra",350.0,3.6,14,Dine-out,No,No
Royal Chowpatty,Electronic City,Quick Bites,Street Food,100.0,3.7,14,Dine-out,No,No
Kasturi Grand,Electronic City,Quick Bites,South Indian,250.0,3.5,0,Dine-out,No,No
Burger King,Electronic City,Quick Bites,"Burger, Fast Food, Beverages",600.0,3.8,560,Dine-out,Yes,No
Hot Attack,Electronic City,Quick Bites,"North Indian, Chinese, Biryani",400.0,3.6,88,Dine-out,Yes,No
Sri Manjunatha Foods,Electronic City,Quick Bites,"South Indian, North Indian, Chinese",250.0,3.6,14,Dine-out,Yes,No
My Cafe,Electronic City,Quick Bites,"North Indian, Chinese, Fast Food",350.0,3.6,16,Dine-out,No,No
Pot Biryani,Electronic City,Quick Bites,"North Indian, Chinese, Biryani, Seafood",600.0,2.8,297,Dine-out,Yes,No
11 to 11 Express Biriyanis,Electronic City,Quick Bites,"Biryani, Kebab",300.0,3.5,22,Dine-out,Yes,No
Pizza Hut,Electronic City,Quick Bites,Pizza,750.0,2.7,195,Dine-out,Yes,No
4Foodiez,Electronic City,Quick Bites,"South Indian, North Indian, Chinese",300.0,3.6,82,Dine-out,Yes,No
Ruchie Rich,Electronic City,Quick Bites,"Biryani, Fast Food, North Indian",200.0,3.5,134,Dine-out,No,No
Ruchimayam Restaurant,Electronic City,Quick Bites,"Andhra, Chinese",350.0,3.5,0,Dine-out,No,No
WOW! Momo,Electronic City,Food Court,"Tibetan, Momos",400.0,3.6,98,Dine-out,Yes,No
Chai Cafe,Electronic City,Quick Bites,"Fast Food, Rolls",300.0,3.6,10,Dine-out,Yes,No
True South,Electronic City,Quick Bites,"Beverages, Fast Food",200.0,3.5,0,Dine-out,Yes,No
Sri Matha Sagar,Electronic City,Quick Bites,"North Indian, Chinese, South Indian",250.0,2.8,21,Dine-out,No,No
Sai Grand,Electronic City,Quick Bites,"South Indian, North Indian, Chinese",200.0,3.6,0,Dine-out,No,No
Annapurna Andhra Hotel,Electronic City,Quick Bites,"Mughlai, Chinese, North Indian",400.0,3.3,5,Dine-out,Yes,No
Adyar Anand Bhavan Sweets,Electronic City,Quick Bites,"South Indian, North Indian, Chinese, Street Food",200.0,3.8,0,Dine-out,No,No
King's Appetite,Electronic City,"Food Court, Quick Bites","North Indian, Chinese",500.0,3.7,45,Dine-out,Yes,No
Subway,Electronic City,Quick Bites,"Salad, Fast Food",600.0,3.9,146,Dine-out,Yes,No
Grand Taj Durbar,Electronic City,Quick Bites,"North Indian, Chinese",300.0,3.5,12,Dine-out,No,No
Sriji's Mithai,Electronic City,"Dessert Parlor, Sweet Shop","Desserts, Mithai",150.0,3.4,5,Dine-out,No,No
Halli Kitchen,Electronic City,Quick Bites,South Indian,300.0,2.5,63,Dine-out,Yes,No
New Hotel Prashanth,Electronic City,Quick Bites,"Fast Food, Andhra",300.0,3.1,8,Dine-out,No,No
Hotel Food Zone,Electronic City,Quick Bites,"North Indian, Chinese",350.0,3.3,9,Dine-out,No,No
Andhra Kitchen,Electronic City,Quick Bites,Andhra,400.0,3.9,45,Dine-out,Yes,No
Eat N Meet,Electronic City,Quick Bites,"Kerala, South Indian, North Indian, Chinese, Beverages",500.0,2.7,159,Dine-out,Yes,No
Kaaram,Electronic City,Food Court,"Andhra, Biryani",500.0,3.4,52,Dine-out,Yes,No
Hanchi Thinnuva,Electronic City,Quick Bites,South Indian,300.0,3.5,17,Dine-out,Yes,No
Salt And Spice,Electronic City,Quick Bites,"North Indian, Kerala",450.0,3.2,77,Dine-out,No,No
Hotel Green Palace,Electronic City,Quick Bites,"North Indian, South Indian, Kerala",200.0,3.5,0,Dine-out,No,No
Super Hyderabadi Dum Biriyani & Combos,Electronic City,Quick Bites,"South Indian, Biryani",300.0,3.5,0,Dine-out,No,No
Burmans Home Food,Electronic City,Quick Bites,North Indian,300.0,3.6,0,Dine-out,No,No
Kathi Junction,Electronic City,Quick Bites,"Rolls, North Indian, Mughlai",400.0,2.8,44,Dine-out,Yes,No
Kababji Cafe,Electronic City,Quick Bites,"Biryani, Rolls, Middle Eastern, Arabian, Charcoal Chicken",300.0,3.5,0,Dine-out,Yes,No
Andhra Spicy Food Court,Electronic City,Quick Bites,"Andhra, Biryani",400.0,3.2,22,Dine-out,Yes,No
Bawarchi,Electronic City,Quick Bites,"North Indian, Chinese",400.0,3.0,29,Dine-out,No,No
Food Planet,Electronic City,Quick Bites,"North Indian, Chinese, Kerala",400.0,3.1,5,Dine-out,No,No
Bachelor's Special Biriyani,Electronic City,Quick Bites,"Biryani, North Indian, South Indian",250.0,3.3,6,Dine-out,No,No
Sweet Revenge,Electronic City,"Bakery, Quick Bites","Bakery, Fast Food",300.0,3.3,9,Dine-out,No,No
E Foods Regalia,Electronic City,Quick Bites,"South Indian, Chinese",550.0,3.1,11,Dine-out,No,No
Amaravathi Andhra Style Family Restaurant,Electronic City,Quick Bites,Andhra,250.0,3.9,0,Dine-out,No,No
Maruthi Sweet Corner,Electronic City,Quick Bites,Desserts,300.0,3.2,0,Dine-out,No,No
Hotel Ranga,Electronic City,Quick Bites,South Indian,400.0,3.5,0,Dine-out,Yes,No
Cake Point,Electronic City,Quick Bites,Bakery,300.0,3.5,0,Dine-out,No,No
Hotel Fresh N Tasty,Electronic City,Quick Bites,"North Indian, South Indian, Chinese, Kerala",300.0,3.5,0,Dine-out,No,No
Sai Sagar Food Court,Electronic City,Quick Bites,"South Indian, North Indian, Chinese",300.0,3.6,0,Dine-out,No,No
Healthy Bill,Electronic City,Quick Bites,"Salad, Sandwich, Fast Food, Beverages, Juices",200.0,3.5,0,Dine-out,No,No
Jyoti's Kitchen-Donne Biryani,Electronic City,Quick Bites,"South Indian, North Indian, Chinese",300.0,3.6,0,Dine-out,No,No
The Hyderbadi Chefs,Electronic City,Quick Bites,"South Indian, North Indian, Chinese",400.0,3.4,4,Dine-out,Yes,No
RK Foods,Electronic City,Quick Bites,North Indian,300.0,3.6,0,Dine-out,No,No
Tiffin,Electronic City,Quick Bites,Fast Food,100.0,3.3,0,Dine-out,No,No
Amaravathi Andhra Mess,Electronic City,Quick Bites,Andhra,300.0,3.9,0,Dine-out,No,No
Casamia Restaurant,Electronic City,Quick Bites,"North Indian, South Indian, Kerala, Arabian",400.0,3.5,0,Dine-out,No,No
Casamia Restaurant,Electronic City,Quick Bites,"South Indian, North Indian, Arabian",400.0,3.5,0,Dine-out,No,No
KATOOTA,Electronic City,Quick Bites,"South Indian, Biryani",300.0,3.5,0,Dine-out,No,No
Curries & Pickles,Electronic City,Quick Bites,"Andhra, Biryani, Chinese",400.0,3.4,0,Dine-out,Yes,No
French Bake House,Electronic City,"Bakery, Quick Bites","Bakery, Fast Food, Burger, Rolls, Beverages",350.0,3.3,8,Dine-out,No,No
Vyanjan,Electronic City,Quick Bites,"North Indian, Chinese",400.0,3.3,12,Dine-out,Yes,No
Just Bake,Electronic City,"Bakery, Quick Bites","Bakery, Desserts",400.0,3.2,14,Dine-out,Yes,No
Machlee's Sea Food,Electronic City,Quick Bites,Seafood,200.0,3.5,0,Dine-out,No,No
Chick Blast,Electronic City,Quick Bites,Fast Food,400.0,3.3,6,Dine-out,No,No
Tellimagic Restaurant,Electronic City,Quick Bites,"North Indian, South Indian, Chinese",400.0,3.5,12,Dine-out,Yes,No
Biryani Darbar,Electronic City,Quick Bites,"Biryani, Andhra, Chinese, North Indian",550.0,3.5,0,Dine-out,Yes,No
Andhra Chettinad Cuisine,Electronic City,Quick Bites,"Andhra, South Indian, Chettinad",250.0,3.6,24,Dine-out,No,No
Basveshwara Khaanavali,Electronic City,Quick Bites,South Indian,150.0,3.5,15,Dine-out,No,No
Cafe Shawamek,Electronic City,Quick Bites,Fast Food,300.0,3.2,4,Dine-out,No,No
Sri Varu Food Corner,Electronic City,Quick Bites,South Indian,150.0,3.5,0,Dine-out,No,No
New Priya Sagar,Electronic City,Quick Bites,"South Indian, Chinese, Street Food",200.0,3.5,0,Dine-out,No,No
Biryani Centre,Electronic City,Quick Bites,South Indian,300.0,3.5,0,Dine-out,No,No
ABCD - Anybody Can Dine,Electronic City,Quick Bites,"Chinese, Fast Food",500.0,3.5,0,Dine-out,No,No
Oven Fresh,Electronic City,Quick Bites,"Bakery, Fast Food",550.0,3.5,0,Dine-out,No,No
Mr. Paratha & Ms. Curry,Electronic City,Quick Bites,Biryani,300.0,3.25,0,Dine-out,No,No
MKA Ambur Hot Dum Biriyani,Electronic City,Quick Bites,Biryani,200.0,3.25,0,Dine-out,No,No
Chatkara,Electronic City,Quick Bites,North Indian,300.0,3.6,0,Dine-out,No,No
The Veggies,Electronic City,Quick Bites,"Chinese, North Indian",200.0,3.7,0,Dine-out,No,No
Cafe Light House,Electronic City,Quick Bites,"Kerala, Seafood",500.0,3.5,0,Dine-out,No,No
V20,Electronic City,Food Court,"North Indian, Continental",300.0,3.5,0,Dine-out,No,No
M S Punjabi Dhaba,Electronic City,Quick Bites,"Chinese, North Indian",300.0,3.7,0,Dine-out,No,No
Chillout,Electronic City,Quick Bites,Chinese,300.0,3.3,0,Dine-out,No,No
Pratha N Snacks,Electronic City,Quick Bites,"North Indian, Street Food",200.0,3.5,0,Dine-out,No,No
Maa Sharda Hotel,Electronic City,Quick Bites,"North Indian, Chinese",350.0,3.4,0,Dine-out,No,No
Gugu Fast Foods & Snacks,Electronic City,Quick Bites,"Chinese, North Indian, Fast Food",350.0,3.4,0,Dine-out,No,No
The Malabari,Electronic City,Quick Bites,"South Indian, Fast Food",300.0,4.0,0,Dine-out,No,No
MGR Foods,Electronic City,Quick Bites,South Indian,300.0,3.5,0,Dine-out,No,No
AJ Ambur Star Biriyani,Electronic City,Quick Bites,"South Indian, Biryani",300.0,3.5,0,Dine-out,No,No
Neelu's Food Court,Electronic City,Quick Bites,"South Indian, Fast Food",250.0,4.0,0,Dine-out,No,No
BJM Restaurant & Cafe,Electronic City,Quick Bites,"North Indian, Chinese, Fast Food",350.0,3.8,0,Dine-out,No,No
Venkataramana Nellore Mess,Electronic City,Quick Bites,South Indian,200.0,3.5,0,Dine-out,No,No
B Penguin Restaurant & Cafe,Electronic City,Quick Bites,Cafe,300.0,3.5,0,Dine-out,No,No
Hyderabadi Biriyani Corner,Electronic City,Quick Bites,Biryani,200.0,3.25,0,Dine-out,No,No
Ambur Chicken Biryani,Electronic City,Quick Bites,Biryani,150.0,3.25,0,Dine-out,No,No
